16-Nov-2021 14:10:36  | FRM | ### | ----------------------------------------------------------------------------
16-Nov-2021 14:11:22  | INF | ### | | Quad_q2r_res_y            |     217.93dps|  0.18dps  | comment |
16-Nov-2021 14:11:22  | INF | ### | | Quad_q2r_res_z            |     138.85dps|  0.24dps  | comment |
16-Nov-2021 14:11:29  | INF | ### | | Rdiff_cvs_x               |      -0.20dps|  0.00dps  | comment |
16-Nov-2021 14:11:29  | INF | ### | | Rdiff_cvs_y               |       1.05dps|  0.00dps  | comment |
16-Nov-2021 14:11:29  | INF | ### | | Rdiff_cvs_z               |       0.08dps|  0.00dps  | comment |
16-Nov-2021 14:11:29  | INF | ### | | Qdiff_cvs_x               |   -1335.86dps|  0.00dps  | comment |
16-Nov-2021 14:11:29  | INF | ### | | Qdiff_cvs_y               |   -2141.54dps|  0.00dps  | comment |
16-Nov-2021 14:11:29  | INF | ### | | Qdiff_cvs_z               |    1393.67dps|  0.00dps  | comment |
16-Nov-2021 14:11:29  | INF | ### | | Phase_cvs_x               |      0.15mrad| 0.00mrad  | comment |
16-Nov-2021 14:11:29  | INF | ### | | Phase_cvs_y               |     -0.49mrad| 0.00mrad  | comment |
16-Nov-2021 14:11:29  | INF | ### | | Phase_cvs_z               |      0.06mrad| 0.00mrad  | comment |
16-Nov-2021 14:11:29  | INF | ### | | Rdiff_x                   |       0.50dps|  0.00dps  | comment |
16-Nov-2021 14:11:29  | INF | ### | | Rdiff_y                   |      -0.89dps|  0.00dps  | comment |
16-Nov-2021 14:11:29  | INF | ### | | Rdiff_z                   |       0.75dps|  0.00dps  | comment |
16-Nov-2021 14:11:29  | INF | ### | | Qdiff_x                   |    -193.07dps|  0.00dps  | comment |
16-Nov-2021 14:11:29  | INF | ### | | Qdiff_y                   |     217.74dps|  0.00dps  | comment |
16-Nov-2021 14:11:29  | INF | ### | | Qdiff_z                   |    -356.21dps|  0.00dps  | comment |
16-Nov-2021 14:11:29  | INF | ### | | Phase_TOSK_x              |     -2.59mrad| 0.00mrad  | comment |
16-Nov-2021 14:11:29  | INF | ### | | Phase_TOSK_y              |     -4.08mrad| 0.00mrad  | comment |
16-Nov-2021 14:11:29  | INF | ### | | Phase_TOSK_z              |     -2.09mrad| 0.00mrad  | comment |
16-Nov-2021 14:11:29  | INF | ### | | Post_Rate_x               |       2.46dps|  0.05dps  | comment |
16-Nov-2021 14:11:29  | INF | ### | | Post_Rate_y               |      -0.04dps|  0.07dps  | comment |
16-Nov-2021 14:11:29  | INF | ### | | Post_Rate_z               |      -0.55dps|  0.05dps  | comment |
16-Nov-2021 14:11:31  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 0|          1.00|     0.00  | S23 -> combo |
16-Nov-2021 14:11:31  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 0|        100.00|     0.00  | S23 -> combo |
16-Nov-2021 14:11:31  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 0|          0.00|     0.00  | S23 -> combo |
16-Nov-2021 14:11:31  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = 0|         99.00|     0.00  | S23 -> combo |
16-Nov-2021 14:11:33  | INF | ### | | S23_AoutStUp_Loop, vco_diff = -3|          2.00|     0.00  | S23 -> combo |
16-Nov-2021 14:11:33  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = -3|        100.00|     0.00  | S23 -> combo |
16-Nov-2021 14:11:33  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = -3|          0.00|     0.00  | S23 -> combo |
16-Nov-2021 14:11:33  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = -3|         99.00|     0.00  | S23 -> combo |
16-Nov-2021 14:11:34  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 3|          3.00|     0.00  | S23 -> combo |
16-Nov-2021 14:11:34  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 3|        100.00|     0.00  | S23 -> combo |
16-Nov-2021 14:11:34  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 3|          0.00|     0.00  | S23 -> combo |
16-Nov-2021 14:11:34  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = 3|         99.00|     0.00  | S23 -> combo |
16-Nov-2021 14:11:36  | INF | ### | | S23_AoutStUp_Loop, vco_diff = -2|          4.00|     0.00  | S23 -> combo |
16-Nov-2021 14:11:36  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = -2|        100.00|     0.00  | S23 -> combo |
16-Nov-2021 14:11:36  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = -2|          0.00|     0.00  | S23 -> combo |
16-Nov-2021 14:11:36  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = -2|         99.00|     0.00  | S23 -> combo |
16-Nov-2021 14:11:38  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 2|          5.00|     0.00  | S23 -> combo |
16-Nov-2021 14:11:38  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 2|        100.00|     0.00  | S23 -> combo |
16-Nov-2021 14:11:38  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 2|          0.00|     0.00  | S23 -> combo |
16-Nov-2021 14:11:38  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = 2|         99.00|     0.00  | S23 -> combo |
16-Nov-2021 14:11:40  | INF | ### | | S23_AoutStUp_Loop, vco_diff = -1|          6.00|     0.00  | S23 -> combo |
