14-Dec-2021 18:00:34  | FRM | ### | ----------------------------------------------------------------------------
14-Dec-2021 18:01:06  | INF | ### | | Aout(4k_en & pd_ai)       |      659.88mV|   2.78mV  | ^~4k_en=1; cp_cvd=0; tst_gyr_pd_ai=1 \\ saturation?~^ |
14-Dec-2021 18:01:07  | INF | ### | | Aout normal mode          |      667.56mV|   2.54mV  | ^~default~^ |
14-Dec-2021 18:01:07  | INF | ### | | Normal_Rate_x             |       0.50dps|  0.05dps  | comment |
14-Dec-2021 18:01:07  | INF | ### | | Normal_Rate_y             |      -0.02dps|  0.06dps  | comment |
14-Dec-2021 18:01:07  | INF | ### | | Normal_Rate_z             |       0.15dps|  0.06dps  | comment |
14-Dec-2021 18:01:08  | INF | ### | | Pout normal mode          |      140.39mV|   0.30mV  | ^~default~^ |
14-Dec-2021 18:01:09  | INF | ### | | CM_OFFSET_normal in TADC  |        4.57mV|   0.14mV  |  |
14-Dec-2021 18:01:10  | INF | ### | | AoutTrim                  |      674.61mV|   0.00mV  |  |
14-Dec-2021 18:01:10  | INF | ### | | Aout_s16                  |      667.80mV|   0.00mV  |  |
14-Dec-2021 18:01:10  | INF | ### | | Aout_rel_dev_s16          |      -1.01pct|  0.00pct  |  |
14-Dec-2021 18:01:12  | INF | ### | | S31:CM_in_Sens            |        0.05Au|   0.06Au  | comment |
14-Dec-2021 18:01:13  | INF | ### | | S31:CM_inSens_PD_AI       |        0.54Au|   0.04Au  | comment |
14-Dec-2021 18:01:13  | INF | ### | | S31:CM_inSens_PD_AA       |       -0.44Au|   0.05Au  | comment |
14-Dec-2021 18:01:14  | INF | ### | | S31:CM_inSens_PD_AIAA     |        0.07Au|   0.06Au  | comment |
14-Dec-2021 18:01:16  | INF | ### | | CV_D_in_Sens              |   23484.05LSB|  2.67LSB  | comment |
14-Dec-2021 18:01:18  | INF | ### | | GYRO_TAU                  |       72.52ms|   0.00ms  | comment |
14-Dec-2021 18:01:19  | INF | ### | | VCO_freq_measured         |       0.00KHz|  0.00KHz  | it would only work on DKT, get 0 from HMP |
14-Dec-2021 18:01:19  | INF | ### | | VCO_freq_FT               |      25.00KHz|  0.00KHz  |  |
14-Dec-2021 18:01:19  | INF | ### | | VCO_freq_dev              |    24999.20Hz|   0.00Hz  | 100Hz dev max, This data will only be available when the FA script run on DKT |
14-Dec-2021 18:01:20  | INF | ### | | Gyro_rate_raw_x           |       2.10dps|  0.07dps  | comment |
14-Dec-2021 18:01:20  | INF | ### | | Gyro_rate_raw_y           |      10.15dps|  0.03dps  | comment |
14-Dec-2021 18:01:20  | INF | ### | | Gyro_rate_raw_z           |     -12.45dps|  0.03dps  | comment |
14-Dec-2021 18:01:20  | INF | ### | | Quad_q2r_res_x            |       3.64dps|  0.45dps  | comment |
14-Dec-2021 18:01:20  | INF | ### | | Quad_q2r_res_y            |     221.53dps|  0.56dps  | comment |
14-Dec-2021 18:01:20  | INF | ### | | Quad_q2r_res_z            |     273.40dps|  1.81dps  | comment |
14-Dec-2021 18:01:27  | INF | ### | | Rdiff_cvs_x               |       0.22dps|  0.00dps  | comment |
14-Dec-2021 18:01:27  | INF | ### | | Rdiff_cvs_y               |       0.86dps|  0.00dps  | comment |
14-Dec-2021 18:01:27  | INF | ### | | Rdiff_cvs_z               |       0.16dps|  0.00dps  | comment |
14-Dec-2021 18:01:27  | INF | ### | | Qdiff_cvs_x               |   -1454.91dps|  0.00dps  | comment |
14-Dec-2021 18:01:27  | INF | ### | | Qdiff_cvs_y               |   -1962.88dps|  0.00dps  | comment |
14-Dec-2021 18:01:27  | INF | ### | | Qdiff_cvs_z               |    1360.11dps|  0.00dps  | comment |
14-Dec-2021 18:01:27  | INF | ### | | Phase_cvs_x               |     -0.15mrad| 0.00mrad  | comment |
14-Dec-2021 18:01:27  | INF | ### | | Phase_cvs_y               |     -0.44mrad| 0.00mrad  | comment |
14-Dec-2021 18:01:27  | INF | ### | | Phase_cvs_z               |      0.12mrad| 0.00mrad  | comment |
14-Dec-2021 18:01:27  | INF | ### | | Rdiff_x                   |       0.40dps|  0.00dps  | comment |
14-Dec-2021 18:01:27  | INF | ### | | Rdiff_y                   |      -0.85dps|  0.00dps  | comment |
14-Dec-2021 18:01:27  | INF | ### | | Rdiff_z                   |       0.67dps|  0.00dps  | comment |
14-Dec-2021 18:01:27  | INF | ### | | Qdiff_x                   |    -196.51dps|  0.00dps  | comment |
14-Dec-2021 18:01:27  | INF | ### | | Qdiff_y                   |     218.01dps|  0.00dps  | comment |
14-Dec-2021 18:01:27  | INF | ### | | Qdiff_z                   |    -366.93dps|  0.00dps  | comment |
14-Dec-2021 18:01:27  | INF | ### | | Phase_TOSK_x              |     -2.04mrad| 0.00mrad  | comment |
14-Dec-2021 18:01:27  | INF | ### | | Phase_TOSK_y              |     -3.89mrad| 0.00mrad  | comment |
14-Dec-2021 18:01:27  | INF | ### | | Phase_TOSK_z              |     -1.81mrad| 0.00mrad  | comment |
14-Dec-2021 18:01:27  | INF | ### | | Post_Rate_x               |       0.50dps|  0.05dps  | comment |
14-Dec-2021 18:01:27  | INF | ### | | Post_Rate_y               |      -0.01dps|  0.05dps  | comment |
14-Dec-2021 18:01:28  | INF | ### | | Post_Rate_z               |       0.63dps|  0.06dps  | comment |
14-Dec-2021 18:01:29  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 0|          1.00|     0.00  | S23 -> combo |
14-Dec-2021 18:01:29  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 0|         14.00|     0.00  | S23 -> combo |
14-Dec-2021 18:01:29  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 0|          0.00|     0.00  | S23 -> combo |
14-Dec-2021 18:01:29  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = 0|         27.00|     0.00  | S23 -> combo |
14-Dec-2021 18:01:31  | INF | ### | | S23_AoutStUp_Loop, vco_diff = -3|          2.00|     0.00  | S23 -> combo |
14-Dec-2021 18:01:31  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = -3|         13.00|     0.00  | S23 -> combo |
14-Dec-2021 18:01:31  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = -3|          0.00|     0.00  | S23 -> combo |
14-Dec-2021 18:01:31  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = -3|         28.00|     0.00  | S23 -> combo |
14-Dec-2021 18:01:33  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 3|          3.00|     0.00  | S23 -> combo |
14-Dec-2021 18:01:33  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 3|         13.00|     0.00  | S23 -> combo |
14-Dec-2021 18:01:33  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 3|          0.00|     0.00  | S23 -> combo |
14-Dec-2021 18:01:33  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = 3|         28.00|     0.00  | S23 -> combo |
14-Dec-2021 18:01:34  | INF | ### | | S23_AoutStUp_Loop, vco_diff = -2|          4.00|     0.00  | S23 -> combo |
14-Dec-2021 18:01:34  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = -2|         13.00|     0.00  | S23 -> combo |
14-Dec-2021 18:01:34  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = -2|          0.00|     0.00  | S23 -> combo |
