10-Dec-2021 17:05:40  | FRM | ### | ----------------------------------------------------------------------------
10-Dec-2021 17:06:53  | INF | ### | | a_x_G16_stim_zp1g         |        2.32mg|   1.72mg  | -20mg < DC < 20 mg, AC < 2 mg |
10-Dec-2021 17:06:53  | INF | ### | | a_y_G16_stim_zp1g         |       -4.00mg|   1.73mg  | -20mg < DC < 20 mg, AC < 2 mg |
10-Dec-2021 17:06:53  | INF | ### | | a_z_G16_stim_zp1g         |      993.73mg|   1.92mg  | 900mg < DC < 1100 mg, AC < 2 mg |
10-Dec-2021 17:06:54  | INF | ### | | a_x_stim_zp1g_pre_bite    |        2.07mg|   1.63mg  | -20mg < DC < 20 mg, AC < 2 mg |
10-Dec-2021 17:06:54  | INF | ### | | a_y_stim_zp1g_pre_bite    |       -8.13mg|   1.71mg  | -20mg < DC < 20 mg, AC < 2 mg |
10-Dec-2021 17:06:54  | INF | ### | | a_z_stim_zp1g_pre_bite    |      989.38mg|   2.02mg  | 980mg < DC < 1020 mg, AC < 2 mg |
10-Dec-2021 17:06:55  | INF | ### | | a_x_stim_zp1g_bite_sign0  |     5183.91mg|   1.25mg  | 3000mg < DC < 7000 mg |
10-Dec-2021 17:06:55  | INF | ### | | a_y_stim_zp1g_bite_sign0  |    -4774.49mg|   1.78mg  | -6500mg < DC < -2000 mg |
10-Dec-2021 17:06:55  | INF | ### | | a_z_stim_zp1g_bite_sign0  |    -3603.13mg|   1.78mg  | -5000mg < DC < -2000 mg |
10-Dec-2021 17:06:55  | INF | ### | | a_x_stim_zp1g_bite_sign1  |    -5316.52mg|   1.98mg  | -7000mg < DC < -3000 mg |
10-Dec-2021 17:06:55  | INF | ### | | a_y_stim_zp1g_bite_sign1  |     4560.00mg|   1.06mg  | 2000mg < DC < 6500 mg |
10-Dec-2021 17:06:56  | INF | ### | | a_z_stim_zp1g_bite_sign1  |     5939.18mg|   1.34mg  | 4000mg < DC < 7000 mg |
10-Dec-2021 17:06:57  | INF | ### | | a_x_stim_zp1g_post_bite   |        2.15mg|   1.49mg  | -20mg < DC < 20 mg, AC < 2 mg |
10-Dec-2021 17:06:57  | INF | ### | | a_y_stim_zp1g_post_bite   |       -8.16mg|   1.87mg  | -20mg < DC < 20 mg, AC < 2 mg |
10-Dec-2021 17:06:57  | INF | ### | | a_z_stim_zp1g_post_bite   |      989.38mg|   2.10mg  | 980mg < DC < 1020 mg, AC < 2 mg |
10-Dec-2021 17:06:57  | INF | ### | | a_x_stim_zp1g_bite_sum    |     -136.76mg|   0.00mg  | 3750mg < DC < 3750mg |
10-Dec-2021 17:06:57  | INF | ### | | a_y_stim_zp1g_bite_sum    |     -198.24mg|   0.00mg  | 3750mg < DC < 3750mg |
10-Dec-2021 17:06:57  | INF | ### | | a_z_stim_zp1g_bite_sum    |      357.30mg|   0.00mg  | 3750mg < DC < 3750mg |
10-Dec-2021 17:06:57  | INF | ### | | a_x_stim_zp1g_bite_diff   |    10500.43mg|   0.00mg  | 6500mg < DC < 13000mg |
10-Dec-2021 17:06:57  | INF | ### | | a_y_stim_zp1g_bite_diff   |    -9334.49mg|   0.00mg  | -12000mg < DC < -5500mg |
10-Dec-2021 17:06:57  | INF | ### | | a_z_stim_zp1g_bite_diff   |    -9542.30mg|   0.00mg  | -11500mg < DC < -7000mg |
