16-Nov-2021 13:58:49  | INF | ### | | CM_OFFSET_normal in TADC  |       -1.04mV|   0.12mV  |  |
16-Nov-2021 13:58:49  | INF | ### | | AoutTrim                  |      762.50mV|   0.00mV  |  |
16-Nov-2021 13:58:49  | INF | ### | | Aout_s16                  |      756.31mV|   0.00mV  |  |
16-Nov-2021 13:58:49  | INF | ### | | Aout_rel_dev_s16          |      -0.81pct|  0.00pct  |  |
16-Nov-2021 13:58:51  | INF | ### | | S31:CM_in_Sens            |        0.05Au|   0.07Au  | comment |
16-Nov-2021 13:58:52  | INF | ### | | S31:CM_inSens_PD_AI       |        0.50Au|   0.05Au  | comment |
16-Nov-2021 13:58:53  | INF | ### | | S31:CM_inSens_PD_AA       |       -0.37Au|   0.05Au  | comment |
16-Nov-2021 13:58:53  | INF | ### | | S31:CM_inSens_PD_AIAA     |        0.06Au|   0.06Au  | comment |
16-Nov-2021 13:58:55  | INF | ### | | CV_D_in_Sens              |   23360.19LSB|  2.55LSB  | comment |
16-Nov-2021 13:58:57  | INF | ### | | GYRO_TAU                  |       67.28ms|   0.00ms  | comment |
16-Nov-2021 13:58:58  | INF | ### | | VCO_freq_measured         |       0.00KHz|  0.00KHz  | it would only work on DKT, get 0 from HMP |
16-Nov-2021 13:58:58  | INF | ### | | VCO_freq_FT               |      24.48KHz|  0.00KHz  |  |
16-Nov-2021 13:58:58  | INF | ### | | VCO_freq_dev              |    24482.00Hz|   0.00Hz  | 100Hz dev max, This data will only be available when the FA script run on DKT |
16-Nov-2021 13:58:59  | INF | ### | | Gyro_rate_raw_x           |      -1.96dps|  0.05dps  | comment |
16-Nov-2021 13:58:59  | INF | ### | | Gyro_rate_raw_y           |       2.87dps|  0.04dps  | comment |
16-Nov-2021 13:58:59  | INF | ### | | Gyro_rate_raw_z           |      -7.61dps|  0.04dps  | comment |
16-Nov-2021 13:58:59  | INF | ### | | Quad_q2r_res_x            |     198.66dps|  0.34dps  | comment |
16-Nov-2021 13:58:59  | INF | ### | | Quad_q2r_res_y            |     220.42dps|  0.19dps  | comment |
16-Nov-2021 13:59:00  | INF | ### | | Quad_q2r_res_z            |     138.43dps|  0.21dps  | comment |
16-Nov-2021 13:59:06  | INF | ### | | Rdiff_cvs_x               |      -0.21dps|  0.00dps  | comment |
16-Nov-2021 13:59:06  | INF | ### | | Rdiff_cvs_y               |       1.06dps|  0.00dps  | comment |
16-Nov-2021 13:59:06  | INF | ### | | Rdiff_cvs_z               |       0.09dps|  0.00dps  | comment |
16-Nov-2021 13:59:06  | INF | ### | | Qdiff_cvs_x               |   -1335.86dps|  0.00dps  | comment |
16-Nov-2021 13:59:06  | INF | ### | | Qdiff_cvs_y               |   -2141.62dps|  0.00dps  | comment |
16-Nov-2021 13:59:06  | INF | ### | | Qdiff_cvs_z               |    1393.66dps|  0.00dps  | comment |
16-Nov-2021 13:59:06  | INF | ### | | Phase_cvs_x               |      0.15mrad| 0.00mrad  | comment |
16-Nov-2021 13:59:06  | INF | ### | | Phase_cvs_y               |     -0.49mrad| 0.00mrad  | comment |
16-Nov-2021 13:59:06  | INF | ### | | Phase_cvs_z               |      0.06mrad| 0.00mrad  | comment |
16-Nov-2021 13:59:06  | INF | ### | | Rdiff_x                   |       0.51dps|  0.00dps  | comment |
16-Nov-2021 13:59:06  | INF | ### | | Rdiff_y                   |      -0.88dps|  0.00dps  | comment |
16-Nov-2021 13:59:06  | INF | ### | | Rdiff_z                   |       0.75dps|  0.00dps  | comment |
16-Nov-2021 13:59:06  | INF | ### | | Qdiff_x                   |    -193.18dps|  0.00dps  | comment |
16-Nov-2021 13:59:06  | INF | ### | | Qdiff_y                   |     217.53dps|  0.00dps  | comment |
16-Nov-2021 13:59:06  | INF | ### | | Qdiff_z                   |    -356.08dps|  0.00dps  | comment |
16-Nov-2021 13:59:06  | INF | ### | | Phase_TOSK_x              |     -2.62mrad| 0.00mrad  | comment |
16-Nov-2021 13:59:06  | INF | ### | | Phase_TOSK_y              |     -4.06mrad| 0.00mrad  | comment |
16-Nov-2021 13:59:06  | INF | ### | | Phase_TOSK_z              |     -2.11mrad| 0.00mrad  | comment |
16-Nov-2021 13:59:07  | INF | ### | | Post_Rate_x               |       0.31dps|  0.05dps  | comment |
16-Nov-2021 13:59:07  | INF | ### | | Post_Rate_y               |      -0.04dps|  0.06dps  | comment |
16-Nov-2021 13:59:07  | INF | ### | | Post_Rate_z               |       0.32dps|  0.05dps  | comment |
16-Nov-2021 13:59:08  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 0|          1.00|     0.00  | S23 -> combo |
16-Nov-2021 13:59:09  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 0|        100.00|     0.00  | S23 -> combo |
16-Nov-2021 13:59:09  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 0|          0.00|     0.00  | S23 -> combo |
16-Nov-2021 13:59:09  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = 0|         99.00|     0.00  | S23 -> combo |
16-Nov-2021 13:59:10  | INF | ### | | S23_AoutStUp_Loop, vco_diff = -3|          2.00|     0.00  | S23 -> combo |
16-Nov-2021 13:59:10  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = -3|        100.00|     0.00  | S23 -> combo |
16-Nov-2021 13:59:10  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = -3|          0.00|     0.00  | S23 -> combo |
16-Nov-2021 13:59:10  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = -3|         99.00|     0.00  | S23 -> combo |
16-Nov-2021 13:59:12  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 3|          3.00|     0.00  | S23 -> combo |
16-Nov-2021 13:59:12  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 3|        100.00|     0.00  | S23 -> combo |
16-Nov-2021 13:59:12  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 3|          0.00|     0.00  | S23 -> combo |
16-Nov-2021 13:59:12  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = 3|         99.00|     0.00  | S23 -> combo |
16-Nov-2021 13:59:14  | INF | ### | | S23_AoutStUp_Loop, vco_diff = -2|          4.00|     0.00  | S23 -> combo |
16-Nov-2021 13:59:14  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = -2|        100.00|     0.00  | S23 -> combo |
16-Nov-2021 13:59:14  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = -2|          0.00|     0.00  | S23 -> combo |
16-Nov-2021 13:59:14  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = -2|         99.00|     0.00  | S23 -> combo |
16-Nov-2021 13:59:15  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 2|          5.00|     0.00  | S23 -> combo |
16-Nov-2021 13:59:15  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 2|        100.00|     0.00  | S23 -> combo |
16-Nov-2021 13:59:15  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 2|          0.00|     0.00  | S23 -> combo |
16-Nov-2021 13:59:15  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = 2|         99.00|     0.00  | S23 -> combo |
