23-Dec-2021 16:01:11  | FRM | ### | ----------------------------------------------------------------------------
23-Dec-2021 16:02:25  | INF | ### | | a_x_G32_stim_zp1g         |       -0.74mg|   2.04mg  | -20mg < DC < 20 mg, AC < 2 mg |
23-Dec-2021 16:02:25  | INF | ### | | a_y_G32_stim_zp1g         |       -3.91mg|   1.99mg  | -20mg < DC < 20 mg, AC < 2 mg |
23-Dec-2021 16:02:25  | INF | ### | | a_z_G32_stim_zp1g         |      995.43mg|   2.53mg  | 900mg < DC < 1100 mg, AC < 2 mg |
23-Dec-2021 16:02:26  | INF | ### | | a_x_G16_stim_zp1g         |        5.20mg|   1.16mg  | -20mg < DC < 20 mg, AC < 2 mg |
23-Dec-2021 16:02:26  | INF | ### | | a_y_G16_stim_zp1g         |       -5.31mg|   1.62mg  | -20mg < DC < 20 mg, AC < 2 mg |
23-Dec-2021 16:02:26  | INF | ### | | a_z_G16_stim_zp1g         |      994.00mg|   2.12mg  | 900mg < DC < 1100 mg, AC < 2 mg |
23-Dec-2021 16:02:27  | INF | ### | | a_x_stim_zp1g_pre_bite    |        5.27mg|   1.32mg  | -20mg < DC < 20 mg, AC < 2 mg |
23-Dec-2021 16:02:27  | INF | ### | | a_y_stim_zp1g_pre_bite    |       -8.98mg|   1.44mg  | -20mg < DC < 20 mg, AC < 2 mg |
23-Dec-2021 16:02:27  | INF | ### | | a_z_stim_zp1g_pre_bite    |      989.18mg|   1.87mg  | 980mg < DC < 1020 mg, AC < 2 mg |
23-Dec-2021 16:02:27  | INF | ### | | a_x_stim_zp1g_bite_sign0  |     5187.77mg|   1.98mg  | 3000mg < DC < 7000 mg |
23-Dec-2021 16:02:28  | INF | ### | | a_y_stim_zp1g_bite_sign0  |    -4776.76mg|   1.83mg  | -6500mg < DC < -2000 mg |
23-Dec-2021 16:02:28  | INF | ### | | a_z_stim_zp1g_bite_sign0  |    -3602.07mg|   1.41mg  | -5000mg < DC < -2000 mg |
23-Dec-2021 16:02:28  | INF | ### | | a_x_stim_zp1g_bite_sign1  |    -5314.57mg|   2.13mg  | -7000mg < DC < -3000 mg |
23-Dec-2021 16:02:28  | INF | ### | | a_y_stim_zp1g_bite_sign1  |     4558.79mg|   2.18mg  | 2000mg < DC < 6500 mg |
23-Dec-2021 16:02:28  | INF | ### | | a_z_stim_zp1g_bite_sign1  |     5936.45mg|   1.32mg  | 4000mg < DC < 7000 mg |
